,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
1079,SRH,CSK,SRH,6 wickets,Hyderabad,"Apr 5, 2024",Twenty20
1080,GT,Punjab Kings,Punjab Kings,3 wickets,Ahmedabad,"Apr 4, 2024",Twenty20
1081,DC,KKR,KKR,106 runs,Visakhapatnam,"Apr 3, 2024",Twenty20
1082,RCB,LSG,LSG,28 runs,Bengaluru,"Apr 2, 2024",Twenty20
1083,MI,RR,RR,6 wickets,Wankhede,"Apr 1, 2024",Twenty20
1084,DC,CSK,DC,20 runs,Visakhapatnam,"Mar 31, 2024",Twenty20
1085,GT,SRH,GT,7 wickets,Ahmedabad,"Mar 31, 2024",Twenty20
1086,LSG,Punjab Kings,LSG,21 runs,Lucknow,"Mar 30, 2024",Twenty20
1087,RCB,KKR,KKR,7 wickets,Bengaluru,"Mar 29, 2024",Twenty20
1088,RR,DC,RR,12 runs,Jaipur,"Mar 28, 2024",Twenty20
1089,SRH,MI,SRH,31 runs,Hyderabad,"Mar 27, 2024",Twenty20
1090,CSK,GT,CSK,63 runs,Chennai,"Mar 26, 2024",Twenty20
1091,RCB,Punjab Kings,RCB,4 wickets,Bengaluru,"Mar 25, 2024",Twenty20
1092,GT,MI,GT,6 runs,Ahmedabad,"Mar 24, 2024",Twenty20
1093,RR,LSG,RR,20 runs,Jaipur,"Mar 24, 2024",Twenty20
1094,KKR,SRH,KKR,4 runs,Eden Gardens,"Mar 23, 2024",Twenty20
1095,Punjab Kings,DC,Punjab Kings,4 wickets,Mullanpur,"Mar 23, 2024",Twenty20
1096,CSK,RCB,CSK,6 wickets,Chennai,"Mar 22, 2024",Twenty20
