,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
574,RCB,SRH,RCB,45 runs,Bengaluru,"Apr 12, 2016",Twenty20
575,Kings XI,Guj Lions,Guj Lions,5 wickets,Mohali,"Apr 11, 2016",Twenty20
576,KKR,Daredevils,KKR,9 wickets,Eden Gardens,"Apr 10, 2016",Twenty20
577,MI,Supergiants,Supergiants,9 wickets,Wankhede,"Apr 9, 2016",Twenty20
578,MI,Supergiant,MI,1 run,Hyderabad,"May 21, 2017",Twenty20
579,KKR,MI,MI,6 wickets,Bengaluru,"May 19, 2017",Twenty20
580,KKR,SRH,KKR,7 wickets,Bengaluru,"May 17, 2017",Twenty20
581,MI,Supergiant,Supergiant,20 runs,Wankhede,"May 16, 2017",Twenty20
582,Daredevils,RCB,RCB,10 runs,Delhi,"May 14, 2017",Twenty20
583,Supergiant,Kings XI,Supergiant,9 wickets,Pune,"May 14, 2017",Twenty20
584,KKR,MI,MI,9 runs,Eden Gardens,"May 13, 2017",Twenty20
585,Guj Lions,SRH,SRH,8 wickets,Kanpur,"May 13, 2017",Twenty20
586,Daredevils,Supergiant,Daredevils,7 runs,Delhi,"May 12, 2017",Twenty20
587,MI,Kings XI,Kings XI,7 runs,Wankhede,"May 11, 2017",Twenty20
588,Guj Lions,Daredevils,Daredevils,2 wickets,Kanpur,"May 10, 2017",Twenty20
589,Kings XI,KKR,Kings XI,14 runs,Mohali,"May 9, 2017",Twenty20
590,SRH,MI,SRH,7 wickets,Hyderabad,"May 8, 2017",Twenty20
591,Kings XI,Guj Lions,Guj Lions,6 wickets,Mohali,"May 7, 2017",Twenty20
592,RCB,KKR,KKR,6 wickets,Bengaluru,"May 7, 2017",Twenty20
593,Daredevils,MI,MI,146 runs,Delhi,"May 6, 2017",Twenty20
594,SRH,Supergiant,Supergiant,12 runs,Hyderabad,"May 6, 2017",Twenty20
595,RCB,Kings XI,Kings XI,19 runs,Bengaluru,"May 5, 2017",Twenty20
596,Daredevils,Guj Lions,Daredevils,7 wickets,Delhi,"May 4, 2017",Twenty20
597,KKR,Supergiant,Supergiant,4 wickets,Eden Gardens,"May 3, 2017",Twenty20
598,Daredevils,SRH,Daredevils,6 wickets,Delhi,"May 2, 2017",Twenty20
599,Supergiant,Guj Lions,Supergiant,5 wickets,Pune,"May 1, 2017",Twenty20
600,MI,RCB,MI,5 wickets,Wankhede,"May 1, 2017",Twenty20
601,SRH,KKR,SRH,48 runs,Hyderabad,"Apr 30, 2017",Twenty20
602,Kings XI,Daredevils,Kings XI,10 wickets,Mohali,"Apr 30, 2017",Twenty20
603,Guj Lions,MI,tied,-,Rajkot,"Apr 29, 2017",Twenty20
604,Supergiant,RCB,Supergiant,61 runs,Pune,"Apr 29, 2017",Twenty20
605,Kings XI,SRH,SRH,26 runs,Mohali,"Apr 28, 2017",Twenty20
606,KKR,Daredevils,KKR,7 wickets,Eden Gardens,"Apr 28, 2017",Twenty20
607,RCB,Guj Lions,Guj Lions,7 wickets,Bengaluru,"Apr 27, 2017",Twenty20
608,Supergiant,KKR,KKR,7 wickets,Pune,"Apr 26, 2017",Twenty20
609,MI,Supergiant,Supergiant,3 runs,Wankhede,"Apr 24, 2017",Twenty20
610,KKR,RCB,KKR,82 runs,Eden Gardens,"Apr 23, 2017",Twenty20
611,Guj Lions,Kings XI,Kings XI,26 runs,Rajkot,"Apr 23, 2017",Twenty20
612,MI,Daredevils,MI,14 runs,Wankhede,"Apr 22, 2017",Twenty20
613,Supergiant,SRH,Supergiant,6 wickets,Pune,"Apr 22, 2017",Twenty20
614,KKR,Guj Lions,Guj Lions,4 wickets,Eden Gardens,"Apr 21, 2017",Twenty20
615,Kings XI,MI,MI,8 wickets,Indore,"Apr 20, 2017",Twenty20
616,SRH,Daredevils,SRH,15 runs,Hyderabad,"Apr 19, 2017",Twenty20
617,Guj Lions,RCB,RCB,21 runs,Rajkot,"Apr 18, 2017",Twenty20
618,SRH,Kings XI,SRH,5 runs,Hyderabad,"Apr 17, 2017",Twenty20
619,Daredevils,KKR,KKR,4 wickets,Delhi,"Apr 17, 2017",Twenty20
620,RCB,Supergiant,Supergiant,27 runs,Bengaluru,"Apr 16, 2017",Twenty20
621,MI,Guj Lions,MI,6 wickets,Wankhede,"Apr 16, 2017",Twenty20
622,Daredevils,Kings XI,Daredevils,51 runs,Delhi,"Apr 15, 2017",Twenty20
623,KKR,SRH,KKR,17 runs,Eden Gardens,"Apr 15, 2017",Twenty20
624,Guj Lions,Supergiant,Guj Lions,7 wickets,Rajkot,"Apr 14, 2017",Twenty20
625,RCB,MI,MI,4 wickets,Bengaluru,"Apr 14, 2017",Twenty20
